,title,year,Decade,Century
0,The Rising Son,1990,1990,1900
2,Crucea de piatra,1993,1990,1900
3,Country,2000,2000,2000
6,The Fresh Air Will Do You Good,2008,2000,2000
9,Do Outro Lado do Mundo,2008,2000,2000
12,Poka Makorer Ghar Bosoti,1996,1990,1900
15,Panic Room,2002,2000,2000
19,Maa Durga Shakti,1999,1990,1900
21,Passenger Side,2009,2000,2000
23,Conflict of Interest,1993,1990,1900
26,Arrive Alive,1990,1990,1900
27,Tera Mera Saath Rahen,2001,2000,2000
31,Der Brocken,1992,1990,1900
33,Nariman,2001,2000,2000
34,The Court,1998,1990,1900
35,The Neverending Story II: The Next Chapter,1990,1990,1900
37,Meigui xuanwo,2000,2000,2000
40,Safe Sex,1999,1990,1900
41,Northfork,2003,2000,2000
46,Torn Apart,1990,1990,1900
49,Piliste Palukutha,2003,2000,2000
51,Sabse Bada Be-Imaan,2000,2000,2000
52,Tin dei hung sam,1997,1990,1900
53,Dead Awake,2010,2010,2000
56,Critical Care,1997,1990,1900
58,The Amityville Horror,2005,2000,2000
63,Monkey Warfare,2006,2000,2000
64,Pellama Mazaka,1993,1990,1900
67,Yeo-haeng-ja,2009,2000,2000
73,Yan joi bin yuen,1999,1990,1900
76,Faust,2009,2000,2000
79,Pranchiyettan and the Saint,2010,2010,2000
88,Thieves of Fortune,1990,1990,1900
92,Taylor's Return,1997,1990,1900
93,Daybreak,2000,2000,2000
96,Luchadores de las estrellas,1992,1990,1900
98,El segundo,2004,2000,2000
104,Sommerhuset,2008,2000,2000
105,Conspiracy Theory,1997,1990,1900
122,O Livro Multicolorido de Karnak,2006,2000,2000
127,Khun krabii hiiroh,2004,2000,2000
131,Senza la parola fine,2003,2000,2000
134,The Lilian Velez Story: Till Death Do Us Part,1995,1990,1900
136,Nyaya Anyaya,1990,1990,1900
137,Toryu-den,1995,1990,1900
138,Vacaciones de terror 2,1991,1990,1900
139,"Hawaii, Oslo",2004,2000,2000
143,Kreator - Revisioned Glory,2003,2000,2000
146,Ahankari,1992,1990,1900
153,Lady Wolf,1991,1990,1900
156,If Lucy Fell,1996,1990,1900
157,Ek Anari Duja Khiladi,2000,2000,2000
162,"Cry, the Beloved Country",1995,1990,1900
163,Weekend at Bernie's II,1993,1990,1900
167,No pan shabu shabu: kahanshin settai,1998,1990,1900
171,White of Winter,2003,2000,2000
173,K-Town,2009,2000,2000
174,In Justice,2004,2000,2000
175,Salute to Life,1990,1990,1900
186,The Chair (II),2007,2000,2000
187,Saddle Up with Dick Wrangler & Injun Joe,2009,2000,2000
190,Bez pravosudiya,1991,1990,1900
191,Akher eldonia,2006,2000,2000
193,Dryan,1990,1990,1900
196,Fat Girls,2006,2000,2000
197,Esther's Diary,2010,2010,2000
200,Dust to Dust,1994,1990,1900
205,Bonjour... Je m'appelle Maxime Renard,2008,2000,2000
208,Entre chiens et loups,2002,2000,2000
211,Sky High,2005,2000,2000
218,VIP Lounge,2003,2000,2000
219,Plague Town,2008,2000,2000
221,Sarkar Raj,2008,2000,2000
227,Hoshi ni negaio,2003,2000,2000
228,Cruz e Sousa - O Poeta do Desterro,1998,1990,1900
229,Meri Hukumat,2003,2000,2000
231,Janma Janma,1994,1990,1900
234,Daddy's Girl,1996,1990,1900
237,Go,1999,1990,1900
240,I Patania,1997,1990,1900
246,Criminals,1997,1990,1900
247,Lefty,2009,2000,2000
257,The Way It Went Down,2009,2000,2000
260,Evening's Civil Twilight in Empires of Tin,2008,2000,2000
265,13 Moons,2002,2000,2000
266,Matchmaker Mary,2008,2000,2000
274,Gori,1992,1990,1900
276,Beings,1998,1990,1900
281,Koi suru inosento man,2006,2000,2000
284,Bale Pandiya,2009,2000,2000
285,Zgvarze,1993,1990,1900
287,Passionada,2002,2000,2000
291,Amar Ache Jol,2008,2000,2000
297,Acts of Imagination,2006,2000,2000
303,Aspects of Love,2005,2000,2000
304,Bongwater,1998,1990,1900
305,420,1992,1990,1900
306,The Be All and End All,2009,2000,2000
308,John,2005,2000,2000
309,Jesus' Son,1999,1990,1900
314,The Real Psycho,1998,1990,1900
319,Lamento,2007,2000,2000
329,Maarek hob,2004,2000,2000
331,Tatlong kasalanan,1998,1990,1900
335,Armin,2007,2000,2000
339,Horror Story,1997,1990,1900
340,Skandal cinta babi ngepet,2008,2000,2000
342,Holyman Undercover,2010,2010,2000
343,Cruz Reynoso: Sowing the Seeds of Justice,2010,2010,2000
346,Yamagola Malli Modalaindhi,2007,2000,2000
348,The Long Run,2001,2000,2000
349,Grizzly Mountain,1997,1990,1900
350,Familjehemligheter,2001,2000,2000
354,Rodolfo 'Boy' Fuentes: Libingan ng mga buhay,1995,1990,1900
355,Red Planet,2000,2000,2000
357,Seifuku bisyojo sensei atashi wo daite,2004,2000,2000
359,Yeh Raat Honeymoon Ki,2002,2000,2000
360,Ai qing wan sui,1994,1990,1900
362,Schubert,2005,2000,2000
363,Nirontor,2006,2000,2000
369,The Wayfarers,2005,2000,2000
374,Left for Dead (II),2007,2000,2000
381,Selfless,2008,2000,2000
383,Pernikahan berdarah,1990,1990,1900
387,Jeevana Chaitra,1992,1990,1900
389,La frontera en llamas,1994,1990,1900
393,Proof,1991,1990,1900
394,IX: The Quest for Sizable Truth,2009,2000,2000
395,Jethro Leaves the Toilet Seat Up,2004,2000,2000
396,Fluke,1995,1990,1900
399,Maut Ki Lakeer,1991,1990,1900
401,Kutty,2001,2000,2000
402,Dost Magarmach,1990,1990,1900
406,The Stake Killer,2009,2000,2000
407,Katas ng Saudi,2007,2000,2000
408,The Missing Stories,2008,2000,2000
410,The Basketball Diaries,1995,1990,1900
412,Gigola,2010,2010,2000
421,Odbacen,2007,2000,2000
425,Dyuymovochka,2007,2000,2000
430,"War Eagle, Arkansas",2007,2000,2000
431,Vote for Me,2003,2000,2000
432,Boys on the Side,1995,1990,1900
437,Bokmyeon dalho,2007,2000,2000
439,Dead in the Water,2002,2000,2000
440,Rocket Dreams,2002,2000,2000
451,Ira Handa Yata,2009,2000,2000
454,Geudeulmanui sesang,1996,1990,1900
455,Tuttapposto,2001,2000,2000
456,Pekin genjin,1997,1990,1900
460,Immortal Combat,1994,1990,1900
463,This Girl's Life,2003,2000,2000
466,The Greatest Adventure of My Life,2005,2000,2000
474,On Empty,2010,2010,2000
479,Thaskara Lahala,2010,2010,2000
481,Daag - Shades of Love,2004,2000,2000
490,Yu ya gong wu,1992,1990,1900
492,Shi xiong di,1995,1990,1900
498,Belmonte,1995,1990,1900
502,Tsurugidake: Ten no ki,2009,2000,2000
506,Instinto de supervivencia,1991,1990,1900
507,Rampage: The Hillside Strangler Murders,2006,2000,2000
